company,reporting_year,scope_1,scope1_mon,scope_2,scope2_mon,scope1_and_2,scope12_mon,scope_3,scope3_mon,scope_1_2_3,scope123_mon,units,ebitda_2023,env_ebitda_ratio,ebita_units,units_words,company_website,report_url,report_name,company_ticker,company_exchange
Exxon,2023.0,92.0,21712000000.0,8.0,1888000000.0,98.0,23128000000.0,540.0,127440000000.0,638.0,150568000000.0,MTCO2E,30.5,493.67,Billions USD,Millions of (metric) tonnes of estimated carbon dioxide emitted,https://www.exonmobile.com,https://corporate.exxonmobil.com/sustainability-and-reports/metrics-and-data,,,
Chevron,2023.0,52.0,12272000000.0,4.0,944000000.0,56.0,13216000000.0,689.0,162604000000.0,745.0,175820000000.0,MTCO2E,24.7, 711.82,Billions USD,Millions of tonnes of estimated carbon dioxide emitted,https://www.chevron.com,https://www.chevron.com/-/media/shared-media/documents/2023-sustainability-performance-data.pdf,,,
Shell,2023.0,50.0,11800000000.0,7.0,1652000000.0,57.0,13452000000.0,1147.0,270692000000.0,1147.0,270692000000.0,MTCO2E,28.2,959.90,Billions USD,Millions of tonnes of estimated carbon dioxide emitted,https://www.shell.com,https://reports.shell.com/sustainability-report/2023/achieving-net-zero-emissions/managing-greenhouse-gas-emissions/greenhouse-gas-emissions.html,Shell Sustainability Report 2023,SHEL,NYSE
BP,2023.0,31.1,7339600000.0,1.0,236000000.0,32.1,7575600000.0,315.0,74340000000.0,347.1,81915600000.0,MTCO2E,13.8,593.59,Billions USD,Millions of tonnes of estimated carbon dioxide emitted,https://www.bp.com,https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/group-reports/bp-sustainability-report-2023.pdf,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
